STRING_gene,CTL1,CTL2,CTL3,CTL4,RX1,RX2,RX3,RX4,RX5,RX6,RX7,RX8,RX9
Tnfrsf11a,0.74,0.68,0.99,0.66,0.78,0.89,0.83,1.06,1.44,0.82,0.97,0.92,0.65
Tnfrsf13b,0.55,0.66,0.3,0.3,0.75,1.04,0.42,0.82,1.98,0.32,0.91,0.69,0.7
Tnfrsf13c,2,0.22,1.33,0.22,0.53,0.29,1.13,0.73,2.33,0.79,2.21,0.32,0.22
Tnfrsf14,0.45,0.45,0.46,0.62,0.63,0.89,0.75,0.63,2.1,0.5,0.77,1.02,0.43
Tnfrsf17,1.41,0.86,1.22,1.42,1.35,0.16,0.8,0.69,1.99,0.54,0.83,1.04,0.4
Tnfrsf1b,0.21,0.25,0.19,0.21,1.32,0.55,0.42,1.46,2.24,0.67,0.84,0.74,1.33
Tnfrsf4,0.61,0.56,0.64,0.61,0.76,0.5,0.94,1.95,0.86,1.14,0.77,1.05,0.68
Tnfrsf8,1.35,1.69,1.2,1.4,0.82,1.4,0.93,0.68,1.17,0.65,0.57,1.11,0.8
Tnfrsf9,1.18,0.89,2.21,0.88,1.2,1.16,0.88,0.89,0.88,1.01,1.09,2.03,0.88
Tnfsf10,0.95,1.15,0.99,1.06,1,1.04,1.03,0.59,1.34,0.64,1.35,0.8,0.9
Tnfsf11,0.47,0.36,0.35,0.35,0.48,0.46,0.44,3.28,0.35,0.85,1.31,2.04,0.35
Tnfsf12,0.75,0.74,0.75,0.76,0.75,1,0.75,0.98,1.51,0.68,0.83,0.87,0.77
Tnfsf13b,0.49,1.08,0.93,0.99,0.35,1.12,0.81,1.16,1.57,1.36,0.87,1.02,0.65
Tnfsf14,0.28,1.62,0.21,0.86,1.34,1.32,1.05,1.1,0.21,0.73,0.51,0.21,1.22
Tnfsf15,1.14,0.49,0.48,0.48,0.66,0.64,1.73,0.49,1.48,0.56,0.61,1.98,0.48
Tnfsf18,1.06,1.02,0.21,1.26,2.81,0.28,0.21,0.27,1.43,0.24,2.9,0.21,0.31
Tnfsf8,0.87,0.66,0.64,0.64,0.88,0.85,0.64,0.66,1.97,0.64,6.46,5.48,0.64
Tollip,1.16,1.12,1.15,1.07,1.14,0.94,0.98,1.19,0.75,1.29,0.99,1.07,1
Traf1,0.44,0.62,0.42,0.42,0.58,1.13,0.95,0.84,1.5,0.56,1.27,0.71,1.02
Traf2,1.03,0.86,1,1.16,1.26,0.96,1,0.68,1.1,1.1,1.18,0.87,1.16
Traf3,1.43,1.2,1.28,1.25,1.31,1.09,1.33,0.61,0.67,0.88,1.01,0.87,1.42
Traf4,1.03,0.99,1.08,0.81,1.14,1.12,0.86,0.99,0.88,0.86,1.18,1.11,1.05
Traf5,0.9,0.85,0.9,0.96,0.8,0.8,1.02,0.9,1.48,0.75,0.92,1.02,0.92
Traf6,0.92,0.81,0.84,0.9,0.94,0.85,0.83,1.53,0.85,1.16,0.86,0.93,0.8
Trem1,0.37,0.28,0.27,0.27,0.37,0.36,0.27,0.28,3.72,0.35,0.34,1.59,0.27
Trem2,0.18,0.21,0.2,0.22,0.23,0.68,0.38,1.17,2.54,0.53,0.8,0.74,0.29
Trp53,1.09,1.16,1.07,1.3,0.87,1.13,1.12,0.67,1.22,0.91,0.95,1.08,1.02
Tslp,0.7,0.9,0.15,0.79,1.46,0.82,0.74,1.13,0.84,0.64,1.36,0.09,0.21
Tubb5,0.8,0.91,0.89,0.85,0.75,0.87,0.94,1,1.12,1.71,0.87,0.99,1.88
Tyk2,0.71,0.94,1.22,0.95,1.04,0.9,1.19,0.78,1.09,0.72,0.79,0.88,0.75
Tyrobp,0.18,0.17,0.17,0.17,0.25,0.78,0.39,1.09,2.49,0.5,0.87,0.69,0.29
Ube2l3,1.22,1.1,1.1,1.11,1.17,1.03,1.04,0.95,0.81,1.09,1.04,1.01,1.04
Vcam1,1.09,0.94,0.9,0.88,0.88,1.06,1.03,0.89,1.13,1.35,2.11,0.79,1.55
Vtn,0.98,0.91,1.02,1.07,1.07,1.01,0.99,0.79,1.13,0.82,1.07,1.06,0.98
Xbp1,1.19,0.96,0.94,0.98,1.17,1.08,1.21,0.68,0.85,0.78,1.08,0.78,1.16
Xcl1,0.28,1.86,0.21,0.21,1.07,3.27,0.21,0.21,0.24,0.27,0.52,0.21,0.21
Xcr1,1.18,0.89,0.88,0.88,1.2,1.16,0.88,0.89,0.88,1.01,1.09,0.88,0.88
Zap70,2.14,1.85,2.47,2.4,1.27,1.23,1.36,0.49,0.64,1.25,1.24,1.9,1.76
Zbtb7b,0.9,1.15,1.09,0.96,0.91,0.97,1.06,0.86,1.2,1.55,0.89,1.09,0.98
Zeb1,1.23,1.09,1.16,1.19,1.22,1.19,1.12,0.68,0.78,1.03,1.08,0.98,1.09
